Percentage served,Time in ms
0,547.652
1,547.652
2,547.652
3,547.652
4,547.652
5,578.093
6,578.093
7,578.093
8,578.093
9,578.093
10,578.093
11,578.093
12,578.093
13,578.093
14,578.093
15,593.560
16,593.560
17,593.560
18,593.560
19,593.560
20,593.560
21,593.560
22,593.560
23,593.560
24,593.560
25,654.793
26,654.793
27,654.793
28,654.793
29,654.793
30,654.793
31,654.793
32,654.793
33,654.793
34,654.793
35,668.883
36,668.883
37,668.883
38,668.883
39,668.883
40,668.883
41,668.883
42,668.883
43,668.883
44,668.883
45,671.614
46,671.614
47,671.614
48,671.614
49,671.614
50,671.614
51,671.614
52,671.614
53,671.614
54,671.614
55,701.567
56,701.567
57,701.567
58,701.567
59,701.567
60,701.567
61,701.567
62,701.567
63,701.567
64,701.567
65,708.262
66,708.262
67,708.262
68,708.262
69,708.262
70,708.262
71,708.262
72,708.262
73,708.262
74,708.262
75,778.991
76,778.991
77,778.991
78,778.991
79,778.991
80,778.991
81,778.991
82,778.991
83,778.991
84,778.991
85,1032.785
86,1032.785
87,1032.785
88,1032.785
89,1032.785
90,1032.785
91,1032.785
92,1032.785
93,1032.785
94,1032.785
95,94065517545.936
96,94065517545.936
97,94065517545.936
98,94065517545.936
99,94065517545.936
100,1032.785
