對照組平均,實驗組平均
6241.9299,5982.5017
6241.9299,5982.5017
6435.5914,6113.4432
6435.5914,6113.4432
6435.5914,6113.4432
6529.3456,6275.0314
6529.3456,6275.0314
6529.3456,6275.0314
6529.3456,6275.0314
6654.0864,6401.1281
6654.0864,6401.1281
6654.0864,6401.1281
6782.0825,6496.2831
6782.0825,6496.2831
6782.0825,6496.2831
6884.8649,6619.7857
6884.8649,6619.7857
6884.8649,6619.7857
6884.8649,6619.7857
6975.9181,6747.4728
6975.9181,6747.4728
6975.9181,6747.4728
7040.1949,6832.4375
7040.1949,6832.4375
7040.1949,6832.4375
7180.4882,6894.4886
7180.4882,6894.4886
7180.4882,6894.4886
7180.4882,6894.4886
7241.814,7017.4383
7241.814,7017.4383
7241.814,7017.4383
7418.924,7089.5178
7418.924,7089.5178
7418.924,7089.5178
7478.9961,7198.7225
7478.9961,7198.7225
7478.9961,7198.7225
7478.9961,7198.7225
7561.6247,7313.8655
7561.6247,7313.8655
7561.6247,7313.8655
7613.7589,7452.7354
7613.7589,7452.7354
7613.7589,7452.7354
7744.7368,7542.0452
7744.7368,7542.0452
7744.7368,7542.0452
7744.7368,7542.0452
7844.2007,7670.0768
7844.2007,7670.0768
7844.2007,7670.0768
7947.6324,7733.6049
7947.6324,7733.6049
7947.6324,7733.6049
8121.0542,7805.5329
8121.0542,7805.5329
8121.0542,7805.5329
8121.0542,7805.5329
8218.0926,7874.2096
8218.0926,7874.2096
8218.0926,7874.2096
8385.4658,7994.5956
8385.4658,7994.5956
8385.4658,7994.5956
8522.0772,8151.9839
8522.0772,8151.9839
8522.0772,8151.9839
8522.0772,8151.9839
8650.6711,8322.2225
8650.6711,8322.2225
8650.6711,8322.2225
8835.8091,8472.1282
8835.8091,8472.1282
8835.8091,8472.1282
9070.8736,8565.7334
9070.8736,8565.7334
9070.8736,8565.7334
9070.8736,8565.7334
9336.2647,8846.9644
9336.2647,8846.9644
9336.2647,8846.9644
9621.5127,9036.304
9621.5127,9036.304
9621.5127,9036.304
9971.4678,9541.8745
9971.4678,9541.8745
9971.4678,9541.8745
9971.4678,9541.8745
10463.9327,10233.3419
10463.9327,10233.3419
10463.9327,10233.3419
11754.3923,10813.6209
11754.3923,10813.6209
11754.3923,10813.6209
13183.8967,12051.8687
13183.8967,12051.8687
13183.8967,12051.8687
13183.8967,12051.8687
13183.8967,12051.8687
13183.8967,12051.8687
