Percentage served,Time in ms
0,104.741
1,108.719
2,108.903
3,108.936
4,109.130
5,109.135
6,109.152
7,109.155
8,109.168
9,109.254
10,109.280
11,109.301
12,109.374
13,109.473
14,109.493
15,109.741
16,109.803
17,109.946
18,112.195
19,113.500
20,114.148
21,115.879
22,118.668
23,122.343
24,122.459
25,123.047
26,123.852
27,124.754
28,124.938
29,125.000
30,125.095
31,125.151
32,125.419
33,125.502
34,125.520
35,125.589
36,132.797
37,137.847
38,139.642
39,139.671
40,140.351
41,140.685
42,140.777
43,141.114
44,144.906
45,148.345
46,149.225
47,151.819
48,152.971
49,153.082
50,154.258
51,155.428
52,156.012
53,156.066
54,156.625
55,158.641
56,161.749
57,164.804
58,169.719
59,171.359
60,171.693
61,172.041
62,172.855
63,174.820
64,175.726
65,179.077
66,185.499
67,187.296
68,187.539
69,187.712
70,187.742
71,187.775
72,189.248
73,196.345
74,198.114
75,202.718
76,202.755
77,202.778
78,202.886
79,202.888
80,202.917
81,202.994
82,203.446
83,205.498
84,211.203
85,219.376
86,220.915
87,226.526
88,234.295
89,234.921
90,239.989
91,250.279
92,340.548
93,356.766
94,374.749
95,381.459
96,382.716
97,531.284
98,603.499
99,817.030
100,817.030
