Percentage served,Time in ms
0,74.301
1,76.142
2,76.308
3,78.842
4,79.185
5,80.297
6,80.850
7,81.501
8,81.834
9,82.055
10,82.805
11,83.164
12,83.512
13,83.635
14,83.895
15,83.908
16,84.765
17,84.980
18,85.129
19,85.669
20,86.079
21,86.263
22,86.363
23,87.012
24,87.167
25,87.176
26,87.530
27,87.628
28,87.823
29,87.939
30,88.560
31,88.702
32,89.915
33,90.201
34,90.317
35,91.063
36,91.898
37,92.027
38,92.137
39,92.178
40,92.508
41,92.741
42,92.823
43,92.889
44,93.136
45,93.152
46,93.420
47,93.575
48,93.625
49,93.999
50,94.174
51,94.247
52,94.286
53,94.552
54,94.675
55,95.672
56,95.768
57,95.990
58,96.235
59,96.553
60,97.309
61,97.858
62,98.332
63,99.216
64,99.231
65,99.691
66,99.886
67,99.938
68,100.381
69,101.234
70,101.323
71,101.419
72,101.659
73,101.666
74,102.500
75,102.912
76,103.190
77,105.032
78,105.500
79,106.230
80,106.271
81,106.578
82,107.973
83,109.988
84,110.015
85,112.254
86,112.380
87,113.444
88,114.188
89,119.144
90,121.226
91,121.608
92,125.144
93,125.460
94,132.305
95,132.511
96,133.471
97,149.043
98,150.253
99,156.396
100,156.396
